id,postcode,"woonplaats","alternatieve_schrijfwijzen","gemeente","provincie","netnummer",latitude,longitude,"soort"
1,1000,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3362429,4.8694444,"Postbus"
2,1001,"Amsterdam","","Amsterdam","Noord-Holland","020",52.36424,4.883358,"Postbus"
3,1002,"Amsterdam","","Amsterdam","Noord-Holland","020",52.36424,4.883358,"Onbekend"
4,1003,"Amsterdam","","Amsterdam","Noord-Holland","020",52.36424,4.883358,"Onbekend"
5,1005,"Amsterdam","","Amsterdam","Noord-Holland","020",52.36424,4.883358,"Postbus"
6,1006,"Amsterdam","","Amsterdam","Noord-Holland","020",52.36424,4.883358,"Postbus"
7,1007,"Amsterdam","","Amsterdam","Noord-Holland","020",52.36424,4.883358,"Postbus"
8,1008,"Amsterdam","","Amsterdam","Noord-Holland","020",52.36424,4.883358,"Postbus"
9,1009,"Amsterdam","","Amsterdam","Noord-Holland","020",52.36424,4.883358,"Postbus"
10,1011,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3729762,4.9039565,"Adres"
11,1012,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3733862,4.8940639,"Adres"
12,1013,"Amsterdam","","Amsterdam","Noord-Holland","020",52.396789,4.8766067,"Adres"
13,1014,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3923045,4.8558842,"Adres"
14,1015,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3790928,4.885109,"Adres"
15,1016,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3711467,4.8837046,"Adres"
16,1017,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3641851,4.8907747,"Adres"
17,1018,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3683871,4.9180909,"Adres"
18,1019,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3728583,4.9388278,"Adres"
19,1020,"Amsterdam","","Amsterdam","Noord-Holland","020",52.36424,4.883358,"Postbus"
20,1021,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3842783,4.9209198,"Adres"
21,1022,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3879078,4.9298787,"Adres"
22,1023,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3870802,4.9496855,"Adres"
23,1024,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3934948,4.9558257,"Adres"
24,1025,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3996222,4.9369594,"Adres"
25,1026,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3812323,4.9935529,"Adres"
26,1027,"Amsterdam","","Amsterdam","Noord-Holland","020",52.4119015,4.9624584,"Adres"
27,1028,"Amsterdam","","Amsterdam","Noord-Holland","020",52.4096694,5.015357,"Adres"
28,1030,"Amsterdam","","Amsterdam","Noord-Holland","020",52.36424,4.883358,"Postbus"
29,1031,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3903988,4.9020632,"Adres"
30,1032,"Amsterdam","","Amsterdam","Noord-Holland","020",52.395149,4.9162053,"Adres"
31,1033,"Amsterdam","","Amsterdam","Noord-Holland","020",52.4071154,4.8850785,"Adres"
32,1034,"Amsterdam","","Amsterdam","Noord-Holland","020",52.4057469,4.9180914,"Adres"
33,1035,"Amsterdam","","Amsterdam","Noord-Holland","020",52.4168952,4.9067666,"Adres"
34,1036,"Amsterdam","","Amsterdam","Noord-Holland","020",52.4076888,4.9034688,"Adres"
35,1037,"Amsterdam","","Amsterdam","Noord-Holland","020",52.4238336,4.8680792,"Adres"
36,1040,"Amsterdam","","Amsterdam","Noord-Holland","020",52.36424,4.883358,"Postbus"
37,1041,"Amsterdam","","Amsterdam","Noord-Holland","020",52.4143153,4.8398143,"Adres"
38,1042,"Amsterdam","","Amsterdam","Noord-Holland","020",52.4042534,4.8247678,"Adres"
39,1043,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3886232,4.8154024,"Adres"
40,1044,"Amsterdam","","Amsterdam","Noord-Holland","020",52.4047907,4.8115803,"Adres"
41,1045,"Amsterdam","","Amsterdam","Noord-Holland","020",52.4189802,4.7908055,"Adres"
42,1046,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3899603,4.7824601,"Adres"
43,1047,"Amsterdam","","Amsterdam","Noord-Holland","020",52.4099722,4.7494287,"Adres"
44,1051,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3797728,4.8686235,"Adres"
45,1052,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3768523,4.87475,"Adres"
46,1053,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3663937,4.8695863,"Adres"
47,1054,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3612327,4.8653587,"Adres"
48,1055,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3817073,4.8540225,"Adres"
49,1056,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3723685,4.854042,"Adres"
50,1057,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3670713,4.8531117,"Adres"
51,1058,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3605178,4.8503025,"Adres"
52,1059,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3460212,4.8461017,"Adres"
53,1060,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3470443,4.7882876,"Adres + Postbus"
54,1061,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3730438,4.837568,"Adres"
55,1062,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3517216,4.8371533,"Adres"
56,1063,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3815295,4.825779,"Adres"
57,1064,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3724594,4.8192201,"Adres"
58,1065,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3560303,4.8296176,"Adres"
59,1066,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3431932,4.817434,"Adres"
60,1067,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3765795,4.7834602,"Adres"
61,1068,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3624004,4.8042058,"Adres"
62,1069,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3576375,4.7901227,"Adres"
63,1070,"Amsterdam","","Amsterdam","Noord-Holland","020",52.36424,4.883358,"Postbus"
64,1071,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3538654,4.8823114,"Adres"
65,1072,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3522009,4.8903141,"Adres"
66,1073,"Amsterdam","","Amsterdam","Noord-Holland","020",52.351928,4.896904,"Adres"
67,1074,"Amsterdam","","Amsterdam","Noord-Holland","020",52.351518,4.90679,"Adres"
68,1075,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3534239,4.860667,"Adres"
69,1076,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3440889,4.860684,"Adres"
70,1077,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3435465,4.8738549,"Adres"
71,1078,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3441217,4.8922031,"Adres"
72,1079,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3421834,4.9067927,"Adres"
73,1080,"Amsterdam","","Amsterdam","Noord-Holland","020",52.36424,4.883358,"Postbus"
74,1081,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3337697,4.8522405,"Adres"
75,1082,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3314299,4.8766928,"Adres"
76,1083,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3268472,4.8908053,"Adres"
77,1086,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3617208,4.981714,"Adres"
78,1087,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3555895,5.0005613,"Adres"
79,1090,"Amsterdam","","Amsterdam","Noord-Holland","020",52.36424,4.883358,"Postbus"
80,1091,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3565396,4.9143228,"Adres"
81,1092,"Amsterdam","","Amsterdam","Noord-Holland","020",52.358913,4.9213875,"Adres"
82,1093,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3612861,4.9284541,"Adres"
83,1094,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3636588,4.9355226,"Adres"
84,1095,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3614375,4.9567275,"Adres"
85,1096,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3363412,4.9190299,"Adres"
86,1097,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3463803,4.9340988,"Adres"
87,1098,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3511236,4.9482332,"Adres"
88,1099,"Amsterdam","","Amsterdam","Noord-Holland","020",52.3295182,4.9227935,"Adres"
89,1100,"Amsterdam-Zuidoost","Amsterdam Zuidoost","Amsterdam","Noord-Holland","020",52.3768632,4.8200283,"Postbus"
90,1101,"Amsterdam-Zuidoost","Amsterdam Zuidoost","Amsterdam","Noord-Holland","020",52.3087775,4.9406597,"Adres"
91,1102,"Amsterdam-Zuidoost","Amsterdam Zuidoost","Amsterdam","Noord-Holland","020",52.3135175,4.9547795,"Adres"
92,1103,"Amsterdam-Zuidoost","Amsterdam Zuidoost","Amsterdam","Noord-Holland","020",52.3235484,4.9698582,"Adres"
93,1104,"Amsterdam-Zuidoost","Amsterdam Zuidoost","Amsterdam","Noord-Holland","020",52.3164474,4.9802023,"Adres"
94,1105,"Amsterdam-Zuidoost","Amsterdam Zuidoost","Amsterdam","Noord-Holland","020",52.2920769,4.9575717,"Adres"
95,1106,"Amsterdam-Zuidoost","Amsterdam Zuidoost","Amsterdam","Noord-Holland","020",52.3007124,4.9740506,"Adres"
96,1107,"Amsterdam-Zuidoost","Amsterdam Zuidoost","Amsterdam","Noord-Holland","020",52.2912462,4.9773243,"Adres"
97,1108,"Amsterdam-Zuidoost","Amsterdam Zuidoost","Amsterdam","Noord-Holland","020",52.3065615,4.9933607,"Adres"
98,1109,"Amsterdam-Zuidoost","Amsterdam Zuidoost","Amsterdam","Noord-Holland","020",52.3110148,5.0140928,"Adres"
99,1110,"Diemen","","Diemen","Noord-Holland","020",52.3331508,4.9551377,"Postbus"
100,1111,"Diemen","","Diemen","Noord-Holland","020",52.3391499,4.9793091,"Adres"
101,1112,"Diemen","","Diemen","Noord-Holland","020",52.3277285,4.997185,"Adres"
102,1113,"Diemen","","Diemen","Noord-Holland","020",52.3455586,4.9854493,"Adres"
103,1115,"Duivendrecht","","Ouder-Amstel","Noord-Holland","020",52.332886,4.9412022,"Adres + Postbus"
104,1117,"Schiphol","","Haarlemmermeer","Noord-Holland","020",52.3052778,4.7992528,"Adres + Postbus"
105,1118,"Luchthaven Schiphol","LUCHTH SCHIPHOL","Haarlemmermeer","Noord-Holland","020",52.3105386,4.7682744,"Adres + Postbus"
106,1119,"Schiphol-Rijk","SCHIPHOL RYK","Haarlemmermeer","Noord-Holland","020",52.279722,4.753889,"Adres"
107,1120,"Landsmeer","","Landsmeer","Noord-Holland","020",52.4324284,4.9150708,"Postbus"
108,1121,"Landsmeer","","Landsmeer","Noord-Holland","020",52.4295674,4.9138121,"Adres"
109,1127,"Den Ilp","","Landsmeer","Noord-Holland","020",52.454533,4.9073219,"Adres"
110,1130,"Volendam","","Edam-Volendam","Noord-Holland","0299",52.5180914,5.0024565,"Postbus"
111,1131,"Volendam","","Edam-Volendam","Noord-Holland","0299",52.5008954,5.0687497,"Adres"
112,1132,"Volendam","","Edam-Volendam","Noord-Holland","0299",52.496442,5.0478618,"Adres"
113,1135,"Edam","","Edam-Volendam","Noord-Holland","0299",52.5126367,5.0491819,"Adres + Postbus"
114,1140,"Monnickendam","","Waterland","Noord-Holland","0299",52.4650634,4.954089,"Postbus"
115,1141,"Monnickendam","","Waterland","Noord-Holland","0299",52.4555687,5.0392316,"Adres"
116,1145,"Katwoude","","Waterland","Noord-Holland","0299",52.4694862,5.0471278,"Adres"
117,1150,"Broek in Waterland","","Waterland","Noord-Holland","020",52.4144806,5.0219082,"Postbus"
118,1151,"Broek in Waterland","","Waterland","Noord-Holland","020",52.4357808,4.9913157,"Adres"
119,1153,"Zuiderwoude","","Waterland","Noord-Holland","020",52.4321039,5.033652,"Adres"
120,1154,"Uitdam","","Waterland","Noord-Holland","020",52.4210268,5.0724962,"Adres"
121,1156,"Marken","","Waterland","Noord-Holland","0299",52.4589926,5.1032057,"Adres"
122,1160,"Zwanenburg","","Haarlemmermeer","Noord-Holland","020",52.0370724,5.0887879,"Postbus"
123,1161,"Zwanenburg","","Haarlemmermeer","Noord-Holland","020",52.380918,4.7380998,"Adres"
124,1165,"Halfweg","","Haarlemmerliede en Spaarnwoude","Noord-Holland","020",52.3819918,4.7538293,"Adres"
125,1170,"Badhoevedorp","","Haarlemmermeer","Noord-Holland","020",52.337248,4.7798711,"Postbus"
126,1171,"Badhoevedorp","","Haarlemmermeer","Noord-Holland","020",52.333333,4.783333,"Adres"
127,1175,"Lijnden","LYNDEN","Haarlemmermeer","Noord-Holland","023",52.3538766,4.7544953,"Adres"
128,1180,"Amstelveen","","Amstelveen","Noord-Holland","020",52.3020525,4.8448473,"Postbus"
129,1181,"Amstelveen","","Amstelveen","Noord-Holland","020",52.3120541,4.8616808,"Adres"
130,1182,"Amstelveen","","Amstelveen","Noord-Holland","020",52.3209392,4.8400512,"Adres"
131,1183,"Amstelveen","","Amstelveen","Noord-Holland","020",52.3109682,4.8879974,"Adres"
132,1184,"Amstelveen","","Amstelveen","Noord-Holland","020",52.2987208,4.8941157,"Adres"
133,1185,"Amstelveen","","Amstelveen","Noord-Holland","020",52.2911562,4.8513884,"Adres"
134,1186,"Amstelveen","","Amstelveen","Noord-Holland","020",52.2875635,4.8739291,"Adres"
135,1187,"Amstelveen","","Amstelveen","Noord-Holland","020",52.2685581,4.8176705,"Adres"
136,1188,"Amstelveen","","Amstelveen","Noord-Holland","020",52.2669445,4.8570657,"Adres"
137,1189,"Amstelveen","","Amstelveen","Noord-Holland","020",52.2603518,4.8716177,"Adres"
138,1190,"Ouderkerk aan de Amstel","OUDERKERK AMSTEL","Ouder-Amstel","Noord-Holland","020",52.2954563,4.9023305,"Postbus"
139,1191,"Ouderkerk aan de Amstel","OUDERKERK AMSTEL","Ouder-Amstel","Noord-Holland","020",52.2947295,4.915337,"Adres"
140,1200,"Hilversum","","Hilversum","Noord-Holland","035",52.2292024,5.1693338,"Postbus"
141,1201,"Hilversum","","Hilversum","Noord-Holland","035",52.2292024,5.1693338,"Postbus"
142,1202,"Hilversum","","Hilversum","Noord-Holland","035",52.2292024,5.1693338,"Postbus"
143,1211,"Hilversum","","Hilversum","Noord-Holland","035",52.2240304,5.1774603,"Adres"
144,1212,"Hilversum","","Hilversum","Noord-Holland","035",52.2166311,5.1943467,"Adres"
145,1213,"Hilversum","","Hilversum","Noord-Holland","035",52.1951262,5.168736,"Adres"
146,1214,"Hilversum","","Hilversum","Noord-Holland","035",52.2137547,5.168896,"Adres"
147,1215,"Hilversum","","Hilversum","Noord-Holland","035",52.2129385,5.1571228,"Adres"
148,1216,"Hilversum","","Hilversum","Noord-Holland","035",52.2201883,5.143533,"Adres"
149,1217,"Hilversum","","Hilversum","Noord-Holland","035",52.2435328,5.1578439,"Adres"
150,1218,"Hilversum","","Hilversum","Noord-Holland","035",52.2741839,5.1269788,"Adres"
151,1221,"Hilversum","","Hilversum","Noord-Holland","035",52.2276307,5.1864416,"Adres"
152,1222,"Hilversum","","Hilversum","Noord-Holland","035",52.2504485,5.1824071,"Adres"
153,1223,"Hilversum","","Hilversum","Noord-Holland","035",52.2284437,5.198227,"Adres"
154,1230,"Loosdrecht","","Wijdemeren","Noord-Holland","035",52.20618,5.06697,"Postbus"
155,1231,"Loosdrecht","","Wijdemeren","Noord-Holland","035",52.216667,5.066667,"Adres"
156,1240,"Kortenhoef","","Wijdemeren","Noord-Holland","035",52.2397632,5.1132094,"Postbus"
157,1241,"Kortenhoef","","Wijdemeren","Noord-Holland","035",52.2299147,5.09164,"Adres"
158,1243,"'s-Graveland","S GRAVELAND","Wijdemeren","Noord-Holland","035",52.244167,5.121111,"Adres + Postbus"
159,1244,"Ankeveen","","Wijdemeren","Noord-Holland","035",52.2642195,5.098253,"Adres"
160,1250,"Laren","","Laren","Noord-Holland","035",52.255712,5.2293702,"Postbus"
161,1251,"Laren","","Laren","Noord-Holland","035",52.2517832,5.2125964,"Adres"
162,1252,"Laren","","Laren","Noord-Holland","035",52.2457888,5.235175,"Adres"
163,1260,"Blaricum","","Blaricum","Noord-Holland","035",52.2857057,5.2697832,"Adres + Postbus"
164,1261,"Blaricum","","Blaricum","Noord-Holland","035",52.2726695,5.2480795,"Adres"
165,1270,"Huizen","","Huizen","Noord-Holland","035",52.2974955,5.2351132,"Postbus"
166,1271,"Huizen","","Huizen","Noord-Holland","035",52.30127,5.2386032,"Adres"
167,1272,"Huizen","","Huizen","Noord-Holland","035",52.2834964,5.2185774,"Adres"
168,1273,"Huizen","","Huizen","Noord-Holland","035",52.3003881,5.258446,"Adres"
169,1274,"Huizen","","Huizen","Noord-Holland","035",52.2997981,5.2716775,"Adres"
170,1275,"Huizen","","Huizen","Noord-Holland","035",52.2909146,5.2616463,"Adres"
171,1276,"Huizen","","Huizen","Noord-Holland","035",52.290108,5.2498227,"Adres"
